JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
-0.064009979,-0.568601935,0.51539747,-1,2.347044315,-2.663438257,2.71888849,1,-1,-2.026391656,-1
-2.026391656,-2.530121076,0.711592528,-1,8.84479253,-1.770422727,13.62367831,1,-1,2.149973017,1
2.149973017,-0.145830536,2.669280956,1,2.216730867,-2.832665469,2.328288708,-1,-1,-0.695253957,-1
-0.695253957,-1.226956193,0.120524838,-1,3.919933278,-2.450813534,4.06710727,1,-1,1.099141603,1
1.099141603,-0.019194992,1.63284136,1,-4.334460498,-5.817472594,0.075034838,-1,-1,1.477982143,1
1.477982143,-0.104140355,1.742171594,1,-1.170064022,-2.070876477,1.061027918,-1,-1,0.067168928,0
0.067168928,-0.68509106,0.289052263,-1,2.357004593,-2.388880846,2.47368621,1,-1,-0.236072554,0
-0.236072554,-0.683751186,0.552507715,-1,1.149425287,-0.668120121,2.693859745,1,-1,1.055836112,1
1.055836112,-0.005688289,1.131418301,1,-2.329444773,-4.064834288,0.113520263,-1,-1,1.241879327,1
1.241879327,-0.53772747,1.307205916,1,-1.433164194,-1.551377283,1.192985247,-1,-1,0.431663265,0
0.431663265,-0.217786501,0.43730846,1,-1.750338134,-2.410305042,0.410619181,-1,-1,0.023108487,0
0.023108487,-0.247187361,0.276513462,1,0.952302428,-2.508161478,1.119048602,-1,-1,0.170240465,0
0.170240465,-0.040889655,0.65881782,1,-1.652026755,-3.019707565,0.332963374,-1,-1,0.91921642,1
0.91921642,-0.011052708,1.122269638,1,-1.644251271,-1.881621467,0.544913443,-1,-1,0.160978579,0
0.160978579,-0.449603264,0.315443808,-1,-0.641243418,-2.096409741,0.992791471,-1,1,0.076148698,0
0.076148698,-0.360385833,0.11665944,-1,-0.388802488,-1.115018441,1.056230004,-1,1,0.224665288,0
0.224665288,-0.312917953,0.302630269,-1,-0.123788791,-1.098993998,1.699482766,1,-1,-0.013274825,0
-0.013274825,-0.072251485,0.480762798,1,-0.813181199,-1.775023189,0.042942414,-1,-1,0.116196251,0
0.116196251,-0.126949456,0.903394142,1,-2.885237418,-4.939209726,0.093345779,-1,-1,-0.286419353,0
-0.286419353,-0.669294443,0.350492796,-1,-0.453973391,-0.721714183,1.605725559,1,-1,-0.638086473,-1
-0.638086473,-1.031683418,0.022303034,-1,6.303921121,-0.767001875,6.693544692,1,-1,-0.097378666,0
-0.097378666,-0.291203368,0.605906148,1,-1.029689377,-1.578632989,1.634577257,1,1,-0.648599369,-1
-0.648599369,-0.98563508,0.556103337,-1,7.297549695,-0.822097994,7.488751281,1,-1,0.426981843,0
0.426981843,-0.181306095,0.918742918,1,-2.354450283,-5.44915458,0.90221063,-1,-1,-0.267941828,0
-0.267941828,-0.552094821,0.402937429,-1,1.013656799,-1.813909387,1.232626344,-1,1,-0.350362655,0
-0.350362655,-0.70673789,0.400544006,-1,4.082935967,-2.632627051,4.577148479,1,-1,0.152892011,0
0.152892011,-0.039635726,0.589275213,1,-1.864560939,-1.905116125,1.107466882,-1,-1,-1.558592515,-1
-1.558592515,-1.88806309,0.030134493,-1,6.770743488,-0.121026303,7.423959734,1,-1,-2.136298701,-1
-2.136298701,-2.349279214,0.219503722,-1,3.811280763,-1.121579183,3.852043821,1,-1,0.69778686,1
0.69778686,-0.013346212,1.868678485,1,-3.417115954,-6.091258122,0.0432611,-1,-1,1.320821065,1
1.320821065,-0.125987799,1.747438007,1,-4.488451464,-4.63982883,0.083170458,-1,-1,0.326565002,0
0.326565002,-0.652756941,0.343671648,-1,-0.245730434,-1.260742663,2.525571411,1,-1,-1.061225733,-1
-1.061225733,-1.546798533,0.166439206,-1,4.127311691,-0.076167263,5.301601316,1,-1,0.661561869,1
0.661561869,-0.321121767,0.881199966,1,-0.671958504,-2.095437292,2.100416044,1,1,0.645623222,1
0.645623222,-0.272512307,1.956732915,1,-3.240210219,-3.54892075,0.57501951,-1,-1,0.791990849,1
0.791990849,-0.736664067,1.031235859,1,-2.788693117,-3.323808723,1.724366627,-1,-1,-0.0514848,0
-0.0514848,-0.526476416,0.429570609,-1,-3.465003465,-3.465003465,0.229347484,-1,1,0.928107322,1
0.928107322,-0.289415112,0.937524376,1,-0.646255385,-0.691772036,1.498337782,1,1,-0.224860645,0
-0.224860645,-0.297501699,0.167448419,-1,-1.109159811,-2.149259192,0.14508354,-1,1,0.290045202,0
0.290045202,-0.314847387,0.467052389,1,0.853161437,-0.653655804,1.531707783,1,1,-0.892666954,-1
-0.892666954,-1.0010691,0.099014825,-1,-0.659556553,-2.349641346,0.998715937,-1,1,0.243578435,0
0.243578435,-0.152187598,0.334662383,1,-1.477738583,-1.898614012,0.053250714,-1,-1,-0.138974428,0
-0.138974428,-0.530079792,0.07841704,-1,2.289555729,-0.095156532,2.845667826,1,-1,0.207925135,0
0.207925135,-0.200122683,0.805855937,1,-1.803294207,-1.988851096,0.096492498,-1,-1,-0.118391108,0
-0.118391108,-0.32322579,0.43612265,1,-0.53535796,-2.39277868,0.097957584,-1,-1,0.509808898,1
0.509808898,-0.247985864,0.712255264,1,-3.845779852,-3.89250656,0,-1,-1,0.400882252,0
0.400882252,-0.255817746,0.466018388,1,1.473801901,-0.354326779,1.628747391,1,1,-0.0195583,0
-0.0195583,-0.244848336,0.281673771,1,-1.041305102,-1.529580106,0.655671559,-1,-1,0.318032425,0
0.318032425,-0.04778767,0.726069257,1,-2.406376899,-4.418912947,0.205899007,-1,-1,-0.654712749,-1
-0.654712749,-0.658356879,0.53322594,-1,0.554763844,-2.086430766,1.126068485,-1,1,0.996892508,1
0.996892508,-0.069492116,1.103403608,1,-1.514518488,-2.077058885,0.11148272,-1,-1,0.32057645,0
0.32057645,-0.250784437,0.375609365,1,1.67321246,-0.78748425,1.947456438,1,1,0.084482571,0
