DJMOVE,DJHIGH,DJLOW,DJTREND,RESULT,LABEL
0.325689466,-0.452133682,0.64483703,1,0.851563919,1
0.851563919,-0.04797741,0.872218024,1,0.831491869,1
0.831491869,-0.095111905,0.861280316,1,0.14719899,0
0.14719899,-0.187580493,0.30513108,1,-0.048636051,0
-0.048636051,-0.249625288,0.164909646,-1,-0.299334332,0
-0.299334332,-0.499962202,0.101040982,-1,0.149797742,0
0.149797742,-0.20904243,0.528305559,1,-0.643587705,-1
-0.643587705,-0.750777931,0.022116434,-1,0.264390572,0
0.264390572,-0.113879861,0.372835845,1,0.569116808,1
0.569116808,-0.118744585,0.622788526,1,-0.211663481,0
-0.211663481,-0.388577181,0.229883628,-1,-0.545899053,-1
-0.545899053,-0.924275831,0.179226907,-1,0.225767559,0
0.225767559,-0.15985201,0.273855268,1,0.182929276,0
0.182929276,-0.212635927,0.31574098,1,-0.184699196,0
-0.184699196,-0.320126496,0.441551349,1,-1.358158591,-1
-1.358158591,-1.542580237,0.518348487,-1,-0.801983492,-1
-0.801983492,-2.240810195,0.080987917,-1,-0.326715353,0
-0.326715353,-0.790140857,0.895381981,1,-3.246958487,-1
-3.246958487,-3.471540607,0.246932211,-1,2.074054329,1
2.074054329,-0.284123404,3.584485128,1,0.0874351,0
0.0874351,-0.377274503,2.138388588,1,1.758811503,1
1.758811503,-0.007576857,2.042065308,1,-0.098087782,0
-0.098087782,-0.528075643,0.691659127,1,-1.611133074,-1
-1.611133074,-1.85030898,0.236253997,-1,1.701747413,1
1.701747413,-0.331123698,2.222388684,1,-3.209547309,-1
-3.209547309,-3.372908464,0.102158415,-1,0.657896885,1
0.657896885,-0.507154811,1.383529304,1,1.260893177,1
1.260893177,-0.053992205,1.314335337,1,0.636486986,1
0.636486986,-0.443655571,0.636486986,1,-0.686562435,-1
-0.686562435,-0.997420781,0.038574924,-1,1.35676804,1
1.35676804,-0.129428169,1.358729824,1,-0.064009979,0
-0.064009979,-0.568601935,0.51539747,-1,-2.026391656,-1
-2.026391656,-2.530121076,0.711592528,-1,2.149973017,1
2.149973017,-0.145830536,2.669280956,1,-0.695253957,-1
-0.695253957,-1.226956193,0.120524838,-1,1.099141603,1
1.099141603,-0.019194992,1.63284136,1,1.477982143,1
1.477982143,-0.104140355,1.742171594,1,0.067168928,0
0.067168928,-0.68509106,0.289052263,-1,-0.236072554,0
-0.236072554,-0.683751186,0.552507715,-1,1.055836112,1
1.055836112,-0.005688289,1.131418301,1,1.241879327,1
1.241879327,-0.53772747,1.307205916,1,0.431663265,0
0.431663265,-0.217786501,0.43730846,1,0.023108487,0
0.023108487,-0.247187361,0.276513462,1,0.170240465,0
0.170240465,-0.040889655,0.65881782,1,0.91921642,1
0.91921642,-0.011052708,1.122269638,1,0.160978579,0
0.160978579,-0.449603264,0.315443808,-1,0.076148698,0
0.076148698,-0.360385833,0.11665944,-1,0.224665288,0
0.224665288,-0.312917953,0.302630269,-1,-0.013274825,0
-0.013274825,-0.072251485,0.480762798,1,0.116196251,0
0.116196251,-0.126949456,0.903394142,1,-0.286419353,0
-0.286419353,-0.669294443,0.350492796,-1,-0.638086473,-1
